condition,keep_fraction,seed,method,num_samples,relative_l2_mean,relative_l2_ci95_low,relative_l2_ci95_high,correlation_mean,correlation_ci95_low,correlation_ci95_high,mse_mean,mse_ci95_low,mse_ci95_high
pml_outside_theta45,0.1,20260802,FNO-only,1000,1.705133045732975,1.6826963756412268,1.729776458631456,0.26158338877784204,0.25494475835952485,0.2679379750264354,0.2665332108615387,0.2634428305703123,0.2694939763129029
pml_outside_theta45,0.1,20260802,Fourier-to-FNO,1000,0.9971813424229622,0.9925086172804237,1.002241790637374,0.29739200797621934,0.2910719433688987,0.3037542592840792,0.09708334407689173,0.09550610916987758,0.09856087775822048
pml_outside_theta45,0.1,20260802,FNO-to-Fourier,1000,1.009315191566944,1.0071802525267006,1.011546172326803,0.159712727801263,0.15617029439306723,0.1632696502447338,0.1033073969675691,0.10105851657365009,0.1053346502008419
periodic_theta89,0.25,20260802,Fourier inverse,1000,0.8864388701319694,0.884838783198595,0.8881128961473703,0.45462602808121505,0.4501527315156739,0.4589468568168772,0.07931413251793983,0.07747794263880749,0.08104539921773186
periodic_theta89,0.25,20260802,Time reversal,1000,0.8198402757048607,0.8171359958946705,0.8225448558345437,0.5895542012386163,0.5845495449986687,0.5942727004428948,0.06731368734811004,0.06595475243047057,0.0687513507195888
periodic_theta89,0.25,20260802,Iterated time reversal,1000,0.6155041456520557,0.6105067772626876,0.6204012775518,0.7379219605746009,0.7331409566185338,0.7423850394563484,0.03714379970987417,0.03644241515073294,0.03783357937081308
periodic_theta89,0.25,20260802,Gradient descent (1/L),1000,0.46741010373830794,0.4624242409788072,0.47264084877893325,0.8561918286830793,0.8526063788862505,0.859355969885644,0.021296012389221814,0.020870268202017452,0.021725366179309098
periodic_theta89,0.25,20260802,FNO-only,1000,0.8397255831360817,0.8358052809685469,0.8438095511287451,0.4260201738179945,0.4215285816681132,0.43022123436738996,0.06880124733495918,0.06767810077330806,0.06992557977273613
periodic_theta89,0.25,20260802,Fourier-to-FNO,1000,0.7021312991082669,0.6948012420170009,0.709360561272502,0.7097994532454379,0.7044133436598086,0.7147448237040752,0.04609558281296183,0.04564239546392622,0.04655347067388077
periodic_theta89,0.25,20260802,FNO-to-Fourier,1000,0.6999151048660278,0.6953061043649912,0.7046947805538774,0.6421636338160122,0.6364883300771043,0.6474769214724375,0.04820312613341169,0.04731089377505683,0.04913349521578811
pml_outside_theta45,0.25,20260802,Fourier inverse,1000,0.954076598584652,0.9531064196646214,0.9550845720261335,0.3390761400675286,0.3335556378197697,0.3448068382659582,0.0925656595111735,0.09052901675219473,0.09462811346233592
