execution_mode,batch_size,method,samples_per_call,mean_ms_per_sample,std_ms_per_sample,throughput_samples_per_s,device,parameters,checkpoint_bytes,speedup_vs_kwave,condition
cpu_batch1,1,Fourier,1,0.8758088841568679,0.24906637929008407,1141.8016168706597,cpu,0,0,46.86580604326714,periodic_theta89
cpu_batch1,1,fno_only,1,2.9523578492808156,0.4886861768612519,338.7123279258294,cpu,100337,802085,13.902613230257481,periodic_theta89
cpu_batch1,1,fourier_to_fno,1,3.7569864503166173,0.9669227198669417,266.1707762921865,cpu,100337,802149,10.92510974917328,periodic_theta89
cpu_batch1,1,fno_to_fourier,1,2.4813705456472235,0.4728920135682116,403.0030910756889,cpu,100337,802149,16.5414590609481,periodic_theta89
cpu_batch1,1,k-Wave,1,41.04548929586599,4.644116751388631,24.363213038873866,cpu,0,0,1.0,periodic_theta89
cpu_batch1,1,Fourier,1,0.8878399843524676,0.17577791317282218,1126.3290881513233,cpu,0,0,55.17979409923023,pml_outside_theta45
cpu_batch1,1,fno_only,1,2.8549734347325284,0.44451144523331626,350.2659561852232,cpu,100337,802085,17.159819048972242,pml_outside_theta45
cpu_batch1,1,fourier_to_fno,1,3.7419899350061314,0.7817410101054492,267.2374905782213,cpu,100337,802085,13.092185810369552,pml_outside_theta45
cpu_batch1,1,fno_to_fourier,1,2.5231220954447053,0.4585217396751049,396.33436757001175,cpu,100337,802085,19.416748645688596,pml_outside_theta45
cpu_batch1,1,k-Wave,1,48.99082752963295,3.2405792548492522,20.41198425144243,cpu,0,0,1.0,pml_outside_theta45
rtx4090_batch1,1,Fourier,1,1.5245759766548872,0.12880893376595268,655.9200822474762,cuda,0,0,94.43780751164971,periodic_theta89
rtx4090_batch1,1,fno_only,1,1.4773865416646004,0.11610964136565681,676.87092835791,cuda,100337,802085,97.45426031700356,periodic_theta89
rtx4090_batch1,1,fourier_to_fno,1,2.9764768946915865,0.20052655314850895,335.9676676084586,cuda,100337,802149,48.37182269984935,periodic_theta89
rtx4090_batch1,1,fno_to_fourier,1,2.9513468965888023,0.20176055668887974,338.8283502545263,cuda,100337,802149,48.783696957694275,periodic_theta89
rtx4090_batch1,1,k-Wave,1,143.9776126202196,15.097029729857393,6.945524250619255,cpu,0,0,1.0,periodic_theta89
rtx4090_batch1,1,Fourier,1,1.6585517767816782,0.12071833614581946,602.9356538633006,cuda,0,0,99.89281312691571,pml_outside_theta45
rtx4090_batch1,1,fno_only,1,1.4742929674685001,0.11842768621248342,678.2912365898985,cuda,100337,802085,112.3775303519557,pml_outside_theta45
rtx4090_batch1,1,fourier_to_fno,1,3.0059089232236147,0.2384680696034707,332.6780769284168,cuda,100337,802085,55.11723972052003,pml_outside_theta45
rtx4090_batch1,1,fno_to_fourier,1,2.9414173401892185,0.2263619896790814,339.97215775428555,cuda,100337,802085,56.32570408682923,pml_outside_theta45
rtx4090_batch1,1,k-Wave,1,165.6774026993662,15.30342340524095,6.035826151950084,cpu,0,0,1.0,pml_outside_theta45
rtx4090_batch64,64,Fourier,64,0.028965799720026553,0.001841612376130193,34523.47284265084,cuda,0,0,4852.099543605457,periodic_theta89
rtx4090_batch64,64,fno_only,64,0.03626760561019182,0.0020772779025602316,27572.815551931082,cuda,100337,802085,3875.219806686449,periodic_theta89
rtx4090_batch64,64,fourier_to_fno,64,0.06599142274353653,0.002893478142070651,15153.484474585663,cuda,100337,802149,2129.7456208499984,periodic_theta89
rtx4090_batch64,64,fno_to_fourier,64,0.05880167183931917,0.0026406642471744346,17006.319186512068,cuda,100337,802149,2390.152170940982,periodic_theta89
rtx4090_batch64,64,k-Wave,64,140.54494360170793,3.958171997113687,7.115161701113292,cpu,0,0,1.0,periodic_theta89
rtx4090_batch64,64,Fourier,64,0.027458600234240294,0.000699714398231046,36418.46239317841,cuda,0,0,6039.288317495774,pml_outside_theta45
rtx4090_batch64,64,fno_only,64,0.03423418733291328,0.0011275870806382972,29210.566334623767,cuda,100337,802085,4844.000004930808,pml_outside_theta45
rtx4090_batch64,64,fourier_to_fno,64,0.06147932552266866,0.001119156522377294,16265.630624579313,cuda,100337,802085,2697.33609143596,pml_outside_theta45
rtx4090_batch64,64,fno_to_fourier,64,0.05487964896019548,0.0019187036910869983,18221.69089903082,cuda,100337,802085,3021.7103562326333,pml_outside_theta45
rtx4090_batch64,64,k-Wave,64,165.83040360943414,3.0148047457395473,6.030257288375253,cpu,0,0,1.0,pml_outside_theta45
